,Service Request#,Incident Date,BLDG#,Street,Boro,Zip,Cross Streets,Cleaning Methods,San Dist,CB,Precinct,Council Dist,City Owned,xcoord,ycoord,On Roll Down Gate,Cherry Picker,Above 3rd Floor,LM,cluster
163,G138294,10/6/2015,1252,SAINT LAWRENCE AVENUE,BRONX,10472,GLEASON AVENUE / NYCTA SUBWAY,,209,9,43,18,False,1021040,242217,No,No,No,False,4
164,G138301,10/7/2015,1675,EAST    2 STREET,BROOKLYN,11223,AVENUE P / QUENTIN ROAD,Paint No preference ; ,315,15,61,44,False,992132,161043,Yes,No,No,False,5
165,G138302,10/7/2015,488,AVENUE P,BROOKLYN,11223,EAST    4 STREET / EAST    5 STREET,Paint Gray ; ,315,15,61,44,False,992748,161122,No,No,Yes,False,5
166,G138303,10/7/2015,11,WEST   30 STREET,MANHATTAN,10001,5 AVENUE / BROADWAY,Paint No preference ; ,105,5,14,3,False,987794,211250,Yes,No,No,False,10
167,G138304,10/7/2015,649,WEST  158 STREET,MANHATTAN,10032,EDWARD M MORGAN PLACE / RIVERSIDE DRIVE,None Specified; ,112,12,33,7,False,998949,243880,No,No,No,False,6
168,G138305,10/7/2015,4071,BROADWAY,MANHATTAN,10032,WEST  171 STREET / WEST  172 STREET,,112,12,33,10,False,1001003,246732,No,No,No,False,6
169,G138306,10/7/2015,845,RIVERSIDE DRIVE,MANHATTAN,10032,BEND / WEST  160 STREET,None Specified; ,112,12,33,7,False,998869,243926,No,No,No,False,6
170,G138308,10/7/2015,4067,BROADWAY,MANHATTAN,10032,WEST  171 STREET / WEST  172 STREET,Paint No preference ; ,112,12,33,10,False,1000984,246633,No,No,No,False,6
171,G138309,10/7/2015,853,RIVERSIDE DRIVE,MANHATTAN,10032,BEND / WEST  160 STREET,Paint No preference ; ,112,12,33,7,False,998824,244052,No,No,No,False,6
172,G138311,10/7/2015,51,BEACH STREET,MANHATTAN,10013,HUDSON STREET / COLLISTER STREET,Paint Brick-Red ; ,101,1,1,1,False,981711,201881,No,No,No,False,19
173,G138312,10/7/2015,180,HESTER STREET,MANHATTAN,10013,MOTT STREET / MULBERRY STREET,,102,2,5,1,False,984835,200862,No,No,No,False,19
174,G138315,10/7/2015,142-12,ROCKAWAY BOULEVARD,QUEENS,11436,142 STREET / 142 PLACE,Paint No preference ; ,412,12,113,28,False,1040218,184826,No,No,No,False,22
175,G138316,10/7/2015,112,WHITE STREET,MANHATTAN,10013,LAFAYETTE STREET / CENTRE STREET,,101,1,5,1,True,984004,200567,Yes,No,No,False,19
176,G138321,10/7/2015,34-44,JUNCTION BOULEVARD,QUEENS,11372,34 ROAD / 34 ROAD,,403,3,115,21,False,1019648,213858,Yes,No,No,False,9
177,G138323,10/8/2015,618,AMSTERDAM AVENUE,MANHATTAN,10024,WEST   89 STREET / WEST   90 STREET,,107,7,24,6,False,991541,227178,Yes,No,No,False,0
178,G138324,10/8/2015,652,AMSTERDAM AVENUE,MANHATTAN,10025,WEST   91 STREET / WEST   92 STREET,,107,7,24,6,False,991832,227621,Yes,No,No,False,0
